Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function Template,"CHECK_NOTNULL(T *)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"charntorune(Rune *,const char *,int)",,,,11,62,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,97,11,62,3,47,24,0,0,2,546,3,33,54,7,0,47,17,17,19,17,61,,,,,61,,2,61,,0.39,,,,
Function,"chartorune(Rune *,const char *)",,,,6,48,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,77,6,48,3,37,23,0,0,2,49,2,27,43,6,0,37,13,13,15,13,34,,,,,34,,2,34,,0.48,,,,
Function,"fullrune(const char *,int)",,,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,18,2,11,0,0,0,1,7,1,5,11,1,0,10,7,7,8,7,9,,,,,9,,4,9,,0.00,,,,
Abstract Class,"i18n::phonenumbers::AbstractRegExpFactory",0,1,0,2,6,4,1,1,1,1,1,0,1,0,0,2,2,,0,0,,,,,5,0,0,0,0,5,5,2,0,0,0,5,,12,2,6,2,0,4,0,0,,,,,6,6,0,0,,,,,,1,1,1,1,,0,0,,0,0.67,1,1,1,1
Public Virtual Function,"i18n::phonenumbers::AbstractRegExpFactory::~AbstractRegExpFactory()",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"i18n::phonenumbers::AllNumberGroupsRemainGrouped(const i18n::phonenumbers::PhoneNumberUtil &,const i18n::phonenumbers::PhoneNumber &,const int &,const int &)",,,,0,34,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,0,34,11,1,21,0,0,1,2,0,16,7,6,0,1,2,2,2,1,0,,,,,0,,1,0,,0.62,,,,
Class,"i18n::phonenumbers::AlternateFormats",0,12,0,4,31,0,2,2,2,1,12,0,12,0,0,1,0,,0,0,,,,,4,0,0,0,0,4,4,1,0,2,0,2,,35,4,31,4,1,0,0,0,,,,,12,8,0,4,,,,,,2,2,2,1,,0,1,,0,0.00,4,4,4,2
Public Function,"i18n::phonenumbers::AlternateFormats::AlternateFormats()",,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,15,1,1,0,0,0,0,2,0,5,2,0,0,2,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Const Function,"i18n::phonenumbers::AlternateFormats::GetAlternateFormatsForCountry(int)",,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,9,2,0,0,0,0,1,2,0,3,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Function,"i18n::phonenumbers::AppendLocalePart(const int &,int *)",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,1,0,0,0,0,0,2,0,2,1,0,0,1,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Class,"i18n::phonenumbers::AreaCodeMap",0,11,0,7,69,15,2,2,2,2,11,0,11,0,0,4,0,,0,0,,,,,7,1,1,0,0,7,7,2,0,3,0,4,,91,7,69,19,22,15,0,0,,,,,45,24,0,21,,,,,,6,6,6,4,,0,2,,85,0.22,13,13,13,10
Public Function,"i18n::phonenumbers::AreaCodeMap::AreaCodeMap()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Private Const Function,"i18n::phonenumbers::AreaCodeMap::BinarySearch(int,int,i18n::phonenumbers::int64)",,,,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,16,3,11,0,0,0,1,4,1,8,11,2,0,9,4,4,4,3,4,,,,,4,,2,3,,0.00,,,,
Public Const Function,"i18n::phonenumbers::AreaCodeMap::Lookup(const i18n::phonenumbers::PhoneNumber &)",,,,2,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,2,31,11,8,0,0,0,2,8,1,19,21,10,0,11,6,6,6,4,4,,,,,4,,2,4,,0.00,,,,
