Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
Package,"com.google.i18n",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,,,0,,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
Package,"com.google.i18n.phonenumbers",1,1,2,1,17,0,12,3,,,,,64,56,207,,33,,718,233,,,,774,,64,91,2,617,,16304,,,,1523,,,,10876,,,2702,8214,3971,,,,,,,6781,8267,2325,,,5942,,,,,,,,27,27,27,14,,,5,,,,0.37,1477,1453,1633,1011
Public Class,"com.google.i18n.phonenumbers.AlternateFormatsCountryCodeSet",1,1,1,1,55,2,51,2,1,0,0,0,,1,0,,,,0,0,,,,1,1,1,0,0,0,,58,,,,2,,,,53,,,3,49,3,,,,,,,49,51,3,,,48,,,,,,,,1,1,1,1,,1,0,,0,0,0.06,1,1,1,1
Static Method,"com.google.i18n.phonenumbers.AlternateFormatsCountryCodeSet.getCountryCodeSet()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,2,,,,51,,,2,49,2,,,,2,1,0,49,50,2,,,48,,,1,1,1,1,0,,,,,0,,0,0,,,0.04,1,1,1,1
Public Class,"com.google.i18n.phonenumbers.AsYouTypeFormatter",3,3,3,2,19,0,14,5,1,5,5,0,,0,7,,,,26,22,,,,26,26,3,19,0,4,,639,,,,33,,,,417,,,112,304,194,,,,,,,216,298,107,,,191,,,,,,,,19,16,19,13,,1,3,,81,65,0.47,86,83,103,53
Constructor,"com.google.i18n.phonenumbers.AsYouTypeFormatter.AsYouTypeFormatter(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,,,,0,,,,5,,,1,3,6,,,,5,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,1.20,1,1,1,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.ableToExtractLongerNdd()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,0,,,,8,,,2,5,4,,,,7,2,0,4,6,2,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.50,2,2,2,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.appendNationalNumber(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,,,,0,,,,11,,,2,8,8,,,,3,2,0,3,5,2,,,3,,,2,2,4,1,1,,,,,0,,1,0,,,0.73,2,2,4,1
