Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,668,,668,,17,,17,,602,602,,54,,54,,2,0,1060,257,257,,803,803,,6,6,12,1,,,,,1,,474,434,650,260
Function,"(unnamed_function_1).$b",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,3,0,6,2,2,,4,4,,3,3,4,3,,,,,2,,3,3,4,3
Function,"(unnamed_function_1).A",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,4,4,4,1,,,,,0,,4,4,4,1
Function,"(unnamed_function_1).Aa",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,2,2,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"(unnamed_function_1).Ab",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,6,1,13,4,4,,9,9,,6,6,18,1,,,,,4,,6,6,18,1
Class Function,"(unnamed_function_1).B",0,0,0,0,0,0,0,0,0,0,,0,0,,,,1,0,0,0,0,1,1,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Class Function,"(unnamed_function_1).C",0,0,0,0,0,0,0,0,0,0,,0,0,,,,1,0,0,0,0,1,1,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Function,"(unnamed_function_1).Cb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Class Function,"(unnamed_function_1).D",0,0,0,0,0,0,0,0,0,0,,0,0,,,,1,0,0,0,0,1,1,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Function,"(unnamed_function_1).Db",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
